id,name,barcode,cavidades,maquina,maquina_alternativa,operarios
1,Fco 160cc F 1/3 Presión,1650130,1,5,19,1.0
2,Fco 180cc F 1/2,16501201,2,5,19,1.0
3,Fco 250cc F 1/1 ,1650110,1,5,19,1.0
4,Fco 370cc F 1 ,1650011,2,5,19,1.0
5,Fco 520cc F 2 ,1650020,1,5,19,1.0
6,Fco 720cc PVC F3/2,1650031,2,5,19,1.0
7,Fco 1050cc F 5 Redondo ,1100050,1,7,No,1.0
8,Fco 1050cc F 5 Redondo Blanco,1100052,1,7,No,1.0
9,Fco 1500cc F 9 Redondo CON ASA Ø70,1650090,2,7,No,1.0
10,Fco 1500cc F 9/2 Redondo ,1100920,2,7,No,1.0
11,Fco 3050cc F 10/3 Redondo Rosca,1130011,2,7,No,1.0
12,Fco 3050cc F 10/2 Redondo Presión Blanco,1100103,2,7,No,1.0
13,Fco 3050cc F 10/2 Redondo Presión,10010010,2,7,No,1.0
14,Fco 3050 Cc F 10 Cuadrado Presión,2257,2,7,No,1.0
15,Fco 7500cc F11/2 Cuadrado Presión PVC ,8750140,2,7,No,1.0
16,Fco 7500cc F11 Cuadrado Presión PP,8750110,2,7,No,1.0
17,Especiero 230cc T/Rosca,1410250,2,7,No,1.0
18,Especiero 230cc Pvc T/Rosca Molinillo,1411250,2,7,No,1.0
19,Especiero 370cc Pvc T/Rosca D62,1410380,2,26,No,1.0
20,Bot T18 18cc Pvc Mod Zucardi Verde Olivo,1400265326501,4,26,No,1.0
21,Bot T18 25cc Pvc Mod cuadrado Cristal,1402501,4,5,No,1.0
22,Bot T18 25cc Pvc Mod cuadrado Verde Olivo,1402504,4,5,No,1.0
23,Bot T18 30cc Pvc Mod Esencia Vainilla,1400360,4,5,No,1.0
24,Bot T18 50cc Pvc Mod Slim Rosca Cristal,1400560,4,4,No,1.0
25,Bot T18 50cc Pvc Mod Slim Rosca Verde Olivo,1400567,4,4,No,1.0
26,Bot T28 70cc Pvc Farmacologica Cristal,1400740,2,4,No,1.0
27,Bot T28 70cc Pvc Farmacologica Ambar,1400746,2,4,No,1.0
28,Bot 90cc Mod JAMER Blanco,1205050800602,2,4,No,1.0
