id,name,barcode,envases_por_bulto,bultos_por_m3,envases_por_m3,cadencia_unidades_h,peso_envase,tipo_tapa,maquina,maquina_alternativa,operarios,palletizadores
1,Fco 160cc F 1/3 Presión,1650130,240,15,3600,570,0.010,Ø65 PRESION,5,19,1.0,0.2
2,Fco 180cc F 1/2,16501201,192,15,2880,1100,0.013,Ø65 PRESION,5,19,1.0,0.2
3,Fco 250cc F 1/1 ,1650110,532,6,3192,600,0.017,Ø65 PRESION,5,19,1.0,0.2
4,Fco 370cc F 1 ,1650011,456,6,2736,1100,0.020,Ø65 PRESION,5,19,1.0,0.2
5,Fco 520cc F 2 ,1650020,300,6,1800,570,0.024,Ø65 PRESION,5,19,1.0,0.2
6,Fco 720cc PVC F3/2,1650031,200,6,1200,1000,0.032,Ø65 PRESION,14,No ,1.0,0.2
7,Fco 1050cc F 5 Redondo ,1100050,140,6,840,580,0.037,Ø100 PRESION,14,7,1.0,0.2
8,Fco 1050cc F 5 Redondo Blanco,1100052,140,6,840,580,0.037,Ø100 PRESION,14,7,1.0,0.2
9,Fco 1500cc F 9 Redondo CON ASA Ø70,1650090,300,2,600,810,0.055,Ø100 PRESION,14,7,2.0,0.2
10,Fco 1500cc F 9/2 Redondo ,1100920,344,2,688,810,0.055,Ø100 PRESION,14,7,1.0,0.2
11,Fco 3050cc F 10/3 Redondo Rosca,1130011,180,2,360,600,0.100,Ø100 ROSCA,7,26,1.0,0.2
12,Fco 3050cc F 10/2 Redondo Presión Blanco,1100103,180,2,360,600,0.100,Ø100 PRESION,7,26,1.0,0.2
13,Fco 3050cc F 10/2 Redondo Presión,10010010,180,2,360,600,0.100,Ø100 PRESION,7,26,1.0,0.2
14,Fco 3050 Cc F 10 Cuadrado Presión,2257,189,2,378,600,0.107,Ø100 PRESION,7,26,1.0,0.2
15,Fco 7500cc F11/2 Cuadrado Presión PVC ,8750140,144,1,144,350,0.170,Ø100 PRESION,26,No,1.0,0.2
16,Fco 7500cc F11 Cuadrado Presión PP,8750110,144,1,144,350,0.155,Ø100 PRESION,26,No,1.0,0.2
17,Especiero 230cc T/Rosca,1410250,690,6,4140,1000,0.016,Ø38 ESPECIAS,5,19,1.0,0.2
18,Especiero 230cc Pvc T/Rosca Molinillo,1411250,690,6,4140,1000,0.016,NO,5,19,1.0,0.2
19,Especiero 370cc Pvc T/Rosca D62,1410380,400,6,2400,1000,0.021,Ø62 ESPECIAS,5,19,1.0,0.2
20,Bot T18 18cc Pvc Mod Zucardi Verde Olivo,1400265326501,1800,15,27000,1700,0.007,NO,4,No,1.0,0.2
21,Bot T18 25cc Pvc Mod cuadrado Cristal,1402501,1440,15,21600,1700,0.008,Ø18 ROSCA,4,No,1.0,0.2
22,Bot T18 25cc Pvc Mod cuadrado Verde Olivo,1402504,1440,15,21600,1700,0.008,Ø18 ROSCA,4,No,1.0,0.2
23,Bot T18 30cc Pvc Mod Esencia Vainilla,1400360,1056,15,15840,1700,0.007,Ø18 ROSCA,4,No,1.0,0.2
24,Bot T18 50cc Pvc Mod Slim Rosca Cristal,1400560,1056,10,10560,1700,0.009,Ø18 ROSCA,4,No,1.0,0.2
25,Bot T18 50cc Pvc Mod Slim Rosca Verde Olivo,1400567,1056,10,10560,1700,0.009,Ø18 ROSCA,4,No,1.0,0.2
26,Bot T28 70cc Pvc Farmacologica Cristal,1400740,612,12,7344,1050,0.010,Ø28 FARMA,5,19,1.0,0.2
27,Bot T28 70cc Pvc Farmacologica Ambar,1400746,612,12,7344,1050,0.010,Ø28 FARMA,5,19,1.0,0.2
28,Bot 90cc Mod JAMER Blanco,1205050800602,990,6,5940,1100,0.008,NO,5,19,1.0,0.2
29,Bot T28 100cc Pvc Farmacologica Cristal,1401040,360,12,4320,1050,0.013,Ø28 FARMA,5,19,1.0,0.2
30,Bot T28 100cc Pvc Farmacologica Gotero Ambar,1401056,360,12,4320,1050,0.013,Ø28 FARMA c/Got,5,19,1.0,0.2
31,Bot T18 110 cc Pvc Mod Esencia Vainilla,1400160,576,6,3456,1700,0.014,Ø18 ROSCA,4,No,1.0,0.2
32,Bot T28 125cc Pvc Farmacologica Cristal,1401240,297,6,1782,1050,0.011,Ø28 FARMA,5,19,1.0,0.2
33,Bot T28 125cc Pvc Farmacologica Ambar,1401246,297,6,1782,1050,0.011,Ø28 FARMA,5,19,1.0,0.2
34,Bot T28 150cc Pvc Farmacologica Cristal,1401540,572,6,3432,1070,0.014,Ø28 FARMA,5,19,1.0,0.2
35,Bot T28 150cc Pvc Farmacologica Ambar,1401546,572,6,3432,1070,0.014,Ø28 FARMA,5,19,1.0,0.2
36,Bot T29 165cc Mod 05/i PVC Dosif Cristal,1202050,255,12,3060,1000,0.012,Ø29 FLIP TOP,5,19,1.0,0.2
37,Bot 200cc Upa Lala Rosca Blanco,1632002,441,0,1,1100,0.018,NO,5,19,1.0,0.2
38,Bot 200cc Upa Lala Rosca Cristal,1632000,441,0,1,1100,0.018,NO,5,19,1.0,0.2
39,Bot 250cc PP Mod Aromatizante Guma,8802501,880,0,1,650,0.022,NO,5,19,1.0,0.2
40,Bot 390 cc Mod Grido Blanco,1205050800601,288,0,1,850,0.036,NO,5,19,1.0,0.2
41,Bot 400 cc Mod JAMER Blanco,1205051800602,380,0,1,850,0.027,NO,5,19,1.0,0.2
42,Bot 500cc Pulv. PVC Mod Viejo Cristal,1280500,540,2,1080,540,0.044,NO,5,19,1.0,0.2
43,Bot 500cc Pulv. PVC Mod Viejo Blanco,1280502,540,2,1080,540,0.044,NO,5,19,1.0,0.2
44,Bot 660 cc Mod JAMER PVC Blanco,1205051800603,180,0,1,550,0.037,NO,14,5,1.0,0.2
45,Bot 1000cc Mod Lavandina ECO Amarillo,7010003,392,2,784,640,0.036,Ø 28 LOOKLEES,7,No,1.0,0.2
46,"Bot 1,00 Polietileno Eco-Lubricante ECO Negro",70100004,360,2,720,600,0.050,Ø38 (PEX1mm),7,No,1.0,0.2
47,Bot 2.00 Lavandina ECO Amarillo,7020003,210,2,420,600,0.068,Ø 28 LOOKLEES,26,No,1.0,0.2
48,"Bot T 29 0,10 Pet Mod PORTA Nuevo ",6201230,1472,4,5888,1900,0.021,NO,10,17,1.0,0.2
49,"Bot T 28 0,10 Pet Mod Aceite Nuevo - Porta FASON",6401230451001,1472,4,5888,2000,0.017,NO,10,17,1.0,0.2
50,Bot 160cc Dosificador Pomo 1/3 PET,6416010,220,15,3300,2600,0.020,Ø29 FLIP TOP,10,17,1.0,0.2
51,"Bot T 29 0,19 Pet Mod Vanoli",6201901037901,960,2,1920,3400,0.017,Ø29 ACEITE,18,No,2.0,0.2
52,"Bot T 29 0,20 Pet Mod Slim Cristal",6202040,1190,2,2380,2100,0.026,Ø29 ACEITE,10,17,1.0,0.2
53,"Bot T 29 0,20 Pet Mod Slim Cristal - AGD FASON",6202240605601,1190,2,2380,2100,0.026,NO,10,17,1.0,0.2
54,"Bot T 29 0,20 Pet Mod Slim Verde Olivo",6202545,1190,2,2380,2100,0.026,Ø29 ACEITE,10,17,1.0,0.2
55,"Bot T 28 0,25 Pet Mod 02 (campanita)",6402520,870,2,1740,2300,0.020,Ø28 ROSCA,11,12,1.0,0.2
56,"Bot T 28 0,25 Pet Mod Farmacologica Cristal",6402540,1140,2,2280,2300,0.020,Ø28 FARMA,11,12,1.0,0.2
57,"Bot T 28 0,25 Pet Mod Farmacologica Ambar",6402740,1140,2,2280,2300,0.025,Ø28 FARMA,11,12,1.0,0.2
58,"Bot T 29 0,25 Pet mod Osito ",6202510,144,6,864,1800,0.020,Ø29 FLIP TOP,10,17,1.0,0.2
59,"Bot T 28 0,25 Pet mod Osito ",6402510,144,6,864,1800,0.020,Ø28 ROSCA,10,17,1.0,0.2
60,"Bot T 29 0,25 Pet Mod Slim Cristal",6203040,1190,2,2380,2500,0.026,Ø29 ACEITE,10,17,1.0,0.2
61,"Bot T 29 0,25 Pet Mod Slim Verde Olivo",6203045,1190,2,2380,2500,0.026,Ø29 ACEITE,10,17,1.0,0.2
62,Bot T 29 0.25 Pet Mod Oliovita Verde Olivo,6202555,1050,2,2100,1900,0.026,NO,10,17,1.0,0.2
63,Bot T 29 0.25 Pet Mod Solfrut Verde Olivo,6202135855201,1144,2,2288,1900,0.026,NO,10,17,1.0,0.2
64,"Bot T29 0,25 Mod Lemon VANOLI",6202544037901,1404,2,2808,2500,0.022,Ø29 ACEITE,10,17,1.0,0.2
65,"Bot T29 0,25 Aceite Cuadrado Mod Nuevo Cristal",6202030,1144,2,2288,2500,0.020,Ø29 ACEITE,10,17,1.0,0.2
66,"Bot T29 0,25 Aceite Cuadrado Mod Nuevo Verde Olivo",6202035,1144,2,2288,2500,0.017,Ø29 ACEITE,10,17,1.0,0.2
67,Bot 250cc Dosificador Pomo 1/1 PET,6402530,864,4,3456,2300,0.020,Ø29 FLIP TOP,10,17,1.0,0.2
68,"Bot T 29 0,27 Pet Salsa Mod Vanoli",6202701037901,820,3,2460,3500,0.022,Ø29 ACEITE,18,No,2.0,0.2
69,Bot T 28 0.273 Pet Mod Ultra Guma ,6403000148201,1008,3,3024,3500,0.022,NO,18,No,2.0,0.2
70,"Bot T 29 0,33 Pet Mod 01 / Dosificador Chato",6204010,120,15,1800,2240,0.026,Ø29 FLIP TOP,10,17,1.0,0.2
71,"Bot T 28 0,35 Pet Gaseosa Mod 01 Cristal",6403010,882,2,1764,2300,0.022,Ø28 ROSCA,11,12,1.0,0.2
72,"Bot T 29 0,35 Pet Mod Vanoli Cristal",6203501037901,936,2,1872,3400,0.026,Ø29 ACEITE,18,No,2.0,0.2
73,"Bot T 29 0,35 Pet Mod Vanoli Ambar",6203507037901,936,2,1872,3400,0.026,Ø29 ACEITE,18,No,2.0,0.2
74,"Bot T 29 0,35 Pet Mod DELPACK Cristal 26 gramos",6403301,1056,3,3168,3100,0.026,Ø28 rosca corta,18,No,2.0,0.2
75,Bot 360cc Dosificador Pomo 1 PET,6436010,704,4,2816,2300,0.020,Ø29 FLIP TOP,10,17,1.0,0.2
76,"Bot T 28 0,50 Pet Mod 01 Agua-soda ",6405010,882,2,1764,2300,0.022,Ø28 ROSCA,11,12,1.0,0.2
77,"Bot T 28 0,50 Pet ROSCA CORTA Mod 03",6405031,990,2,1980,3400,0.020,Ø28 rosca corta,18,24,2.0,0.2
78,"Bot T 28 0,50 Pet Mod 03 ",6405030,990,2,1980,3900,0.022,Ø28 ROSCA,18,24,2.0,0.2
79,Bot T28 0.50 Pet Desodorante Mod Nuevo,6405330,990,2,1980,3900,0.022,Ø28 ROSCA,18,No,2.0,0.2
80,Bot T28 0.50 Pet Mod 03 Agua Lagoa - FASON,6405030150601,990,2,1980,3900,0.022,NO,18,24,2.0,0.2
